cpg_id,state,directory_match_flag,directory_match_id,confidence,effective_from,effective_to,directory_model,enforcement_status,flavor_ban_applies,rule_version
CP0001,TX,True,TX_77821,0.96,2025-04-15,,WHITELIST,IN_EFFECT,False,TX_2024
CP0001,CA,True,CA_10321,0.95,2023-01-01,,WHITELIST,IN_EFFECT,False,CA_2023
CP0001,NY,True,NY_20101,0.94,2024-06-01,,WHITELIST,IN_EFFECT,False,NY_2024
CP0002,TX,True,TX_77822,0.96,2025-04-15,,WHITELIST,IN_EFFECT,False,TX_2024
CP0002,CA,False,,0.0,,,WHITELIST,IN_EFFECT,True,CA_2023
CP0002,NY,False,,0.0,,,WHITELIST,IN_EFFECT,True,NY_2024
CP0004,TX,True,TX_88201,0.94,2025-05-01,,WHITELIST,IN_EFFECT,False,TX_2024
CP0004,CA,True,CA_88201,0.93,2023-01-01,,WHITELIST,IN_EFFECT,False,CA_2023
CP0006,TX,True,TX_77301,0.95,2021-10-18,,WHITELIST,IN_EFFECT,False,TX_2024
CP0006,CA,True,CA_77301,0.94,2021-10-18,,WHITELIST,IN_EFFECT,False,CA_2023
CP0009,TX,False,,0.0,,,WHITELIST,IN_EFFECT,False,TX_2024
CP0009,CA,False,,0.0,,,WHITELIST,IN_EFFECT,True,CA_2023
CP0010,TX,False,,0.0,,,WHITELIST,IN_EFFECT,False,TX_2024
